,Unnamed: 0,Location,Price,Rooms,Bathrooms,CarPorch,Furnishing,Year,State,Area,UnitType,PropertyType,BuiltUp
0,1983,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",660000,3,3,2.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,12.0,1495.0
1,2001,"Setapak, Kuala Lumpur",1100000,3,3,2.0,3.0,2019,Kuala Lumpur,Setapak,3.0,12.0,1523.0
2,2010,"KLCC, Kuala Lumpur",3490000,3,3,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,1560.0
3,2013,"Desa ParkCity, Kuala Lumpur",1400000,3,2,2.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,12.0,1572.0
4,2015,"Mont Kiara, Kuala Lumpur",950000,3,3,2.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,1574.0
5,2019,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",690000,4,4,2.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,12.0,1615.0
6,2027,"Brickfields, Kuala Lumpur",1000000,3,2,1.0,3.0,2019,Kuala Lumpur,Brickfields,3.0,12.0,1667.0
7,2028,"Desa ParkCity, Kuala Lumpur",1450000,3,3,2.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,12.0,1680.0
8,2031,"Mont Kiara, Kuala Lumpur",738000,3,2,1.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,1700.0
9,2037,"City Centre, Kuala Lumpur",2400000,2,2,2.0,3.0,2019,Kuala Lumpur,City Centre,3.0,15.0,1732.0
10,2047,"KL Sentral, Kuala Lumpur",2600000,3,5,2.0,3.0,2019,Kuala Lumpur,KL Sentral,3.0,15.0,1787.0
11,2048,"KL Sentral, Kuala Lumpur",2450000,3,2,2.0,3.0,2019,Kuala Lumpur,KL Sentral,3.0,15.0,1787.0
12,2059,"KLCC, Kuala Lumpur",2000000,3,4,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1905.0
13,2060,"KLCC, Kuala Lumpur",1638800,3,2,4.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1905.0
14,2061,"KLCC, Kuala Lumpur",1650000,3,3,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1905.0
15,2062,"KLCC, Kuala Lumpur",1700000,3,4,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1905.0
16,2068,"Mont Kiara, Kuala Lumpur",1910000,4,5,2.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,2025.0
17,2069,"Mont Kiara, Kuala Lumpur",1370000,3,3,2.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,2028.0
18,2071,"KLCC, Kuala Lumpur",2999000,3,3,3.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,2066.0
19,2072,"Desa ParkCity, Kuala Lumpur",1550000,3,4,3.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,12.0,2066.0
20,2073,"Damansara Heights, Kuala Lumpur",3200000,5,5,4.0,3.0,2019,Kuala Lumpur,Damansara Heights,3.0,15.0,2078.0
21,2081,"Taman Melawati, Kuala Lumpur",1779286,3,4,3.0,3.0,2019,Kuala Lumpur,Taman Melawati,3.0,16.0,2293.0
22,2084,"KLCC, Kuala Lumpur",1799999,4,6,7.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,2315.0
23,2085,"KLCC, Kuala Lumpur",1720000,4,6,7.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,2315.0
24,2096,"Bukit Tunku (Kenny Hills), Kuala Lumpur",2280000,3,4,4.0,3.0,2019,Kuala Lumpur,Bukit Tunku (Kenny Hills),3.0,12.0,2400.0
25,2107,"Desa ParkCity, Kuala Lumpur",2400000,4,5,3.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,5.0,2800.0
26,2110,"KLCC, Kuala Lumpur",2480000,4,5,3.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,2900.0
27,2112,"Mont Kiara, Kuala Lumpur",2400000,4,7,3.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,2906.0
28,2115,"Desa ParkCity, Kuala Lumpur",1500000,3,4,3.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,1.0,2971.0
29,2117,"KLCC, Kuala Lumpur",2400000,3,5,3.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,3000.0
30,2120,"KLCC, Kuala Lumpur",2630000,3,5,3.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,3095.0
31,2121,"KLCC, Kuala Lumpur",2780000,3,4,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,3109.0
32,2132,"KLCC, Kuala Lumpur",4800000,4,6,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,3300.0
33,2136,"Wangsa Maju, Kuala Lumpur",2190000,4,4,3.0,3.0,2019,Kuala Lumpur,Wangsa Maju,3.0,12.0,3644.0
34,2140,"KLCC, Kuala Lumpur",5200000,3,3,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,3897.0
35,2155,"Sri Hartamas, Kuala Lumpur",3600000,5,5,2.0,3.0,2019,Kuala Lumpur,Sri Hartamas,3.0,10.0,5738.0
36,2159,"Desa ParkCity, Kuala Lumpur",5600000,6,6,3.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,4.0,7218.0
37,2175,"KL Sentral, Kuala Lumpur",2150000,2,4,1.0,3.0,2019,Kuala Lumpur,KL Sentral,3.0,15.0,1485.0
38,2177,"Bangsar, Kuala Lumpur",1100000,3,3,1.0,3.0,2019,Kuala Lumpur,Bangsar,3.0,12.0,1475.0
39,2178,"Bukit Jalil, Kuala Lumpur",690000,3,3,2.0,3.0,2019,Kuala Lumpur,Bukit Jalil,3.0,12.0,1454.0
40,2180,"KLCC, Kuala Lumpur",2340800,2,2,3.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,1463.0
41,2204,"KLCC, Kuala Lumpur",950000,2,2,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1429.0
42,2206,"Mont Kiara, Kuala Lumpur",850000,3,3,1.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,15.0,1428.0
43,2210,"City Centre, Kuala Lumpur",1880000,1,1,1.0,3.0,2019,Kuala Lumpur,City Centre,3.0,15.0,1388.0
44,2213,"Desa ParkCity, Kuala Lumpur",1300000,3,2,2.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,12.0,1389.0
45,2215,"Bukit Jalil, Kuala Lumpur",530000,2,2,1.0,3.0,2019,Kuala Lumpur,Bukit Jalil,3.0,12.0,1400.0
46,2220,"Dutamas, Kuala Lumpur",650000,3,3,2.0,3.0,2019,Kuala Lumpur,Dutamas,3.0,12.0,1418.0
47,2222,"Bukit Jalil, Kuala Lumpur",485000,3,3,1.0,3.0,2019,Kuala Lumpur,Bukit Jalil,3.0,12.0,1422.0
48,2227,"KLCC, Kuala Lumpur",1250000,3,4,2.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,1378.0
49,2230,"Cheras, Kuala Lumpur",660000,3,2,2.0,3.0,2019,Kuala Lumpur,Cheras,3.0,12.0,1364.0
50,2234,"Desa ParkCity, Kuala Lumpur",1600000,3,2,2.0,3.0,2019,Kuala Lumpur,Desa ParkCity,3.0,12.0,1346.0
51,2235,"Sentul, Kuala Lumpur",699800,3,2,2.0,3.0,2019,Kuala Lumpur,Sentul,3.0,12.0,1355.0
52,2236,"Taman Tun Dr Ismail, Kuala Lumpur",1000000,2,2,1.0,3.0,2019,Kuala Lumpur,Taman Tun Dr Ismail,3.0,12.0,1356.0
53,2252,"KL Sentral, Kuala Lumpur",1640000,1,2,1.0,3.0,2019,Kuala Lumpur,KL Sentral,3.0,15.0,1259.0
54,2256,"Mont Kiara, Kuala Lumpur",729000,3,3,2.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,1268.0
55,2257,"Jalan Sultan Ismail, Kuala Lumpur",952500,3,2,1.0,3.0,2019,Kuala Lumpur,Jalan Sultan Ismail,3.0,15.0,1270.0
56,2258,"KLCC, Kuala Lumpur",1400000,2,2,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1270.0
57,2262,"KL City, Kuala Lumpur",1350000,3,2,2.0,3.0,2019,Kuala Lumpur,KL City,3.0,15.0,1281.0
58,2267,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",500000,3,2,1.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,12.0,1258.0
59,2270,"Mont Kiara, Kuala Lumpur",1200000,2,2,1.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,1235.0
60,2279,"Bukit Jalil, Kuala Lumpur",685000,3,2,3.0,3.0,2019,Kuala Lumpur,Bukit Jalil,3.0,12.0,1212.0
61,2283,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",640000,3,3,2.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,12.0,1208.0
62,2284,"Pantai, Kuala Lumpur",850000,1,2,1.0,3.0,2019,Kuala Lumpur,Pantai,3.0,15.0,1210.0
63,2286,"Setapak, Kuala Lumpur",450000,3,2,1.0,3.0,2019,Kuala Lumpur,Setapak,3.0,12.0,1207.0
64,2289,"Pantai, Kuala Lumpur",660000,3,2,1.0,3.0,2019,Kuala Lumpur,Pantai,3.0,12.0,1206.0
65,2290,"KLCC, Kuala Lumpur",1680000,2,2,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,1206.0
66,2293,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",480000,3,2,2.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,12.0,1200.0
67,2297,"Mont Kiara, Kuala Lumpur",1350000,3,3,1.0,3.0,2019,Kuala Lumpur,Mont Kiara,3.0,12.0,1200.0
68,2302,"Sentul, Kuala Lumpur",450000,4,2,2.0,3.0,2019,Kuala Lumpur,Sentul,3.0,12.0,1181.0
69,2310,"KLCC, Kuala Lumpur",1200000,2,2,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,1151.0
70,2313,"City Centre, Kuala Lumpur",655000,2,2,1.0,3.0,2019,Kuala Lumpur,City Centre,3.0,12.0,1113.0
71,2322,"Titiwangsa, Kuala Lumpur",620000,3,2,1.0,3.0,2019,Kuala Lumpur,Titiwangsa,3.0,15.0,1100.0
72,2329,"Dutamas, Kuala Lumpur",498000,3,2,1.0,3.0,2019,Kuala Lumpur,Dutamas,3.0,12.0,1100.0
73,2493,"KLCC, Kuala Lumpur",830000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,473.0
74,2500,"Sri Hartamas, Kuala Lumpur",560000,1,1,1.0,3.0,2019,Kuala Lumpur,Sri Hartamas,3.0,15.0,560.0
75,2508,"Taman Desa, Kuala Lumpur",435000,0,1,1.0,3.0,2019,Kuala Lumpur,Taman Desa,3.0,12.0,607.0
76,2509,"Taman Desa, Kuala Lumpur",450000,0,1,1.0,3.0,2019,Kuala Lumpur,Taman Desa,3.0,12.0,607.0
77,2512,"Sri Hartamas, Kuala Lumpur",480000,1,1,1.0,3.0,2019,Kuala Lumpur,Sri Hartamas,3.0,15.0,640.0
78,2518,"KLCC, Kuala Lumpur",1000000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,657.0
79,2520,"KLCC, Kuala Lumpur",990000,0,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,657.0
80,2522,"KL Eco City, Kuala Lumpur",838000,1,1,1.0,3.0,2019,Kuala Lumpur,KL Eco City,3.0,12.0,657.0
81,2523,"KL Eco City, Kuala Lumpur",838888,0,1,1.0,3.0,2019,Kuala Lumpur,KL Eco City,3.0,12.0,657.0
82,2530,"Cheras, Kuala Lumpur",368000,2,1,1.0,3.0,2019,Kuala Lumpur,Cheras,3.0,15.0,695.0
83,2531,"Taman Desa, Kuala Lumpur",440000,1,1,1.0,3.0,2019,Kuala Lumpur,Taman Desa,3.0,12.0,698.0
84,2542,"Taman Desa, Kuala Lumpur",525000,1,1,1.0,3.0,2019,Kuala Lumpur,Taman Desa,3.0,12.0,721.0
85,2543,"KLCC, Kuala Lumpur",1780000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,15.0,728.0
86,2546,"KLCC, Kuala Lumpur",1248000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,736.0
87,2547,"Sri Petaling, Kuala Lumpur",510000,1,2,2.0,3.0,2019,Kuala Lumpur,Sri Petaling,3.0,3.0,737.0
88,2550,"Bukit Bintang, Kuala Lumpur",678000,1,1,1.0,3.0,2019,Kuala Lumpur,Bukit Bintang,3.0,15.0,750.0
89,2553,"KLCC, Kuala Lumpur",1000000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,751.0
90,2556,"KLCC, Kuala Lumpur",1316000,1,1,1.0,3.0,2019,Kuala Lumpur,KLCC,3.0,12.0,753.0
91,2558,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",498000,1,2,1.0,3.0,2019,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),3.0,15.0,775.0
